procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 1559376 164892  37504 7276744    1    2    24    19    1    0  1  0 98  0
 0  0 1560412 197520  53340 7227216    5   19   718    35  178  305  0  0 99  0
 0  0 1560280 194824  53448 7227416    5    0     5    15  231  428  0  0 99  0
 0  0 1560204 189536  53548 7227828    2    0     2     7  323  586  0  0 99  0
 0  0 1560148 183788  53904 7228384    1    0     5    14  445  822  0  1 99  0
 0  0 1560056 179108  53992 7229132    4    0     4    15  516  964  0  1 99  0
 1  0 1560004 173448  54144 7230524    1    0    10    23  629 1205  1  1 99  0
 2  0 1560424 190772  54144 7209220    1    8     1    31  703 1342  1  1 99  0
 0  0 1560312 185616  54244 7210436    5    0     5    22  805 1540  1  1 98  0
 0  0 1560252 182324  54340 7211712    3    0     3    31  846 1620  1  1 98  0
 0  0 1560240 181308  54436 7212928    1    0     1    24  785 1501  1  1 99  0
 0  0 1560216 179184  54532 7214216    2    0     2    25  839 1608  1  1 98  0
 1  0 1560144 177456  54628 7215536    7    0     7    22  882 1657  1  1 98  0
 0  0 1560120 175852  54724 7216836    1    0     1    25  852 1606  1  1 98  0
