Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
2000;100.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
3000;1.00;0.00;2.00;2.00;0.00;0.00;0.00;0.00
4000;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5000;5.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00
6000;100.00;6.00;1.00;1.00;0.00;11.00;0.00;0.00
7000;100.00;100.00;1.00;0.00;100.00;100.00;0.00;0.00
8000;100.00;100.00;1.00;1.00;100.00;100.00;0.00;0.00
9000;100.00;100.00;1.00;0.00;100.00;100.00;0.00;0.00
10000;100.00;100.00;1.00;1.00;100.00;100.00;0.00;0.00
11000;100.00;100.00;1.00;2.00;100.00;100.00;0.00;0.00
12000;100.00;100.00;1.00;2.00;100.00;100.00;0.00;0.00
13000;100.00;100.00;1.00;1.00;100.00;100.00;0.00;0.00
14000;100.00;100.00;1.00;0.00;100.00;100.00;0.00;0.00
15000;100.00;100.00;1.00;0.00;100.00;100.00;1.00;0.00
16000;100.00;100.00;2.00;4.00;100.00;100.00;0.00;1.00
17000;100.00;100.00;1.00;2.00;100.00;100.00;0.00;0.00
18000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
19000;100.00;100.00;1.00;1.00;100.00;100.00;0.00;0.00
20000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
21000;100.00;100.00;1.00;3.00;100.00;100.00;0.00;0.00
22000;100.00;100.00;1.00;1.00;100.00;100.00;0.00;0.00
23000;100.00;100.00;2.00;1.00;100.00;100.00;0.00;0.00
24000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
25000;100.00;100.00;4.00;1.00;100.00;100.00;0.00;0.00
26000;100.00;100.00;2.00;1.00;100.00;100.00;0.00;0.00
27000;100.00;100.00;2.00;2.00;100.00;100.00;1.00;0.00
28000;100.00;100.00;2.00;1.00;100.00;100.00;0.00;0.00
29000;100.00;100.00;2.00;3.00;100.00;100.00;0.00;0.00
30000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
31000;100.00;100.00;3.00;4.00;100.00;100.00;0.00;0.00
32000;100.00;100.00;6.00;4.00;100.00;100.00;0.00;0.00
33000;100.00;100.00;2.00;1.00;100.00;100.00;0.00;0.00
34000;100.00;100.00;3.00;2.00;100.00;100.00;0.00;0.00
35000;100.00;100.00;3.00;2.00;100.00;100.00;0.00;0.00
36000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
37000;100.00;100.00;5.00;4.00;100.00;100.00;0.00;0.00
38000;100.00;100.00;2.00;1.00;100.00;100.00;0.00;0.00
39000;100.00;100.00;3.00;4.00;100.00;100.00;0.00;0.00
40000;100.00;100.00;2.00;2.00;100.00;100.00;0.00;0.00
41000;100.00;100.00;3.00;5.00;100.00;100.00;0.00;0.00
42000;100.00;100.00;3.00;3.00;100.00;100.00;0.00;0.00
43000;100.00;100.00;5.00;0.00;100.00;100.00;0.00;1.00
44000;100.00;100.00;3.00;5.00;100.00;100.00;0.00;0.00
45000;100.00;100.00;3.00;2.00;100.00;100.00;0.00;0.00
46000;100.00;100.00;3.00;5.00;100.00;100.00;0.00;0.00
47000;100.00;100.00;5.00;6.00;100.00;100.00;0.00;1.00
48000;100.00;100.00;3.00;4.00;100.00;100.00;0.00;0.00
49000;100.00;100.00;4.00;3.00;100.00;100.00;0.00;0.00
50000;100.00;100.00;3.00;6.00;100.00;100.00;0.00;1.00
51000;100.00;100.00;4.00;4.00;100.00;100.00;0.00;0.00
52000;100.00;100.00;3.00;0.00;100.00;100.00;0.00;0.00
53000;100.00;100.00;4.00;8.00;100.00;100.00;0.00;0.00
54000;100.00;100.00;6.00;6.00;100.00;100.00;0.00;0.00
55000;100.00;100.00;91.00;9.00;100.00;100.00;82.00;44.00
56000;100.00;100.00;87.00;3.00;100.00;100.00;78.00;37.00
57000;100.00;100.00;91.00;22.00;100.00;100.00;89.00;42.00
58000;100.00;100.00;89.00;23.00;100.00;100.00;65.00;58.00
59000;100.00;100.00;91.00;21.00;100.00;100.00;93.00;44.00
60000;100.00;100.00;100.00;14.00;100.00;100.00;99.00;60.00
61000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;63.00
62000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;80.00
63000;100.00;100.00;100.00;12.00;100.00;100.00;97.00;65.00
64000;100.00;100.00;100.00;7.00;100.00;100.00;100.00;69.00
65000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;52.00
66000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;62.00
67000;100.00;100.00;100.00;15.00;100.00;100.00;97.00;70.00
68000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;71.00
69000;100.00;100.00;99.00;11.00;100.00;100.00;100.00;81.00
70000;100.00;100.00;100.00;9.00;100.00;100.00;99.00;64.00
71000;100.00;100.00;100.00;6.00;100.00;100.00;99.00;72.00
72000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;71.00
73000;100.00;100.00;100.00;10.00;100.00;100.00;99.00;63.00
74000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;67.00
75000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;52.00
76000;100.00;100.00;100.00;5.00;100.00;100.00;100.00;63.00
77000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;71.00
78000;100.00;100.00;100.00;2.00;100.00;100.00;100.00;57.00
79000;100.00;100.00;100.00;13.00;100.00;100.00;99.00;61.00
80000;100.00;100.00;100.00;9.00;100.00;100.00;99.00;54.00
81000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;54.00
82000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;61.00
83000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;60.00
84000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;73.00
85000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;63.00
86000;100.00;100.00;100.00;11.00;100.00;100.00;98.00;63.00
87000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;50.00
88000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;69.00
89000;100.00;100.00;100.00;4.00;100.00;100.00;100.00;76.00
90000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;71.00
91000;100.00;100.00;100.00;1.00;100.00;100.00;100.00;56.00
92000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;58.00
93000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;49.00
94000;100.00;100.00;100.00;11.00;100.00;100.00;98.00;69.00
95000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;89.00
96000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;92.00
97000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;72.00
98000;100.00;100.00;100.00;7.00;100.00;100.00;100.00;61.00
99000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;58.00
100000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;52.00
101000;100.00;100.00;100.00;5.00;100.00;100.00;100.00;55.00
102000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;68.00
103000;100.00;100.00;100.00;2.00;100.00;100.00;100.00;71.00
104000;100.00;100.00;100.00;0.00;100.00;100.00;100.00;81.00
105000;100.00;100.00;100.00;5.00;100.00;100.00;100.00;75.00
106000;100.00;100.00;100.00;14.00;100.00;100.00;100.00;65.00
107000;100.00;100.00;100.00;14.00;100.00;100.00;100.00;52.00
108000;100.00;100.00;100.00;14.00;100.00;100.00;100.00;55.00
109000;100.00;100.00;100.00;12.00;100.00;100.00;100.00;57.00
110000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;76.00
111000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;79.00
112000;100.00;100.00;100.00;14.00;100.00;100.00;100.00;60.00
113000;100.00;100.00;100.00;7.00;100.00;100.00;100.00;70.00
114000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;70.00
115000;100.00;100.00;100.00;8.00;100.00;100.00;100.00;56.00
116000;100.00;100.00;100.00;8.00;100.00;100.00;100.00;67.00
117000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;74.00
118000;100.00;100.00;100.00;6.00;100.00;100.00;100.00;81.00
119000;100.00;100.00;100.00;4.00;100.00;100.00;100.00;61.00
120000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;65.00
121000;100.00;100.00;100.00;2.00;100.00;100.00;100.00;56.00
122000;100.00;100.00;100.00;17.00;100.00;100.00;100.00;62.00
123000;100.00;100.00;100.00;17.00;100.00;100.00;100.00;69.00
124000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;80.00
125000;100.00;100.00;100.00;17.00;100.00;100.00;100.00;70.00
126000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;79.00
127000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;67.00
128000;100.00;100.00;100.00;15.00;100.00;100.00;100.00;74.00
129000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;58.00
130000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;68.00
131000;100.00;100.00;100.00;15.00;100.00;100.00;100.00;71.00
132000;100.00;100.00;100.00;17.00;100.00;100.00;100.00;73.00
133000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;64.00
134000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;63.00
135000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;60.00
136000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;56.00
137000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;82.00
138000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;68.00
139000;100.00;100.00;100.00;8.00;100.00;100.00;100.00;78.00
140000;100.00;100.00;100.00;7.00;100.00;100.00;100.00;49.00
141000;100.00;100.00;100.00;7.00;100.00;100.00;100.00;57.00
142000;100.00;100.00;100.00;5.00;100.00;100.00;100.00;62.00
143000;100.00;100.00;100.00;4.00;100.00;100.00;100.00;63.00
144000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;69.00
145000;100.00;100.00;100.00;3.00;100.00;100.00;100.00;69.00
146000;100.00;100.00;100.00;2.00;100.00;100.00;100.00;70.00
147000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;68.00
148000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;52.00
149000;100.00;100.00;100.00;17.00;100.00;100.00;100.00;57.00
150000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;52.00
151000;100.00;100.00;100.00;19.00;100.00;100.00;100.00;67.00
152000;100.00;100.00;100.00;18.00;100.00;100.00;100.00;67.00
153000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;72.00
154000;100.00;100.00;100.00;21.00;100.00;100.00;100.00;68.00
155000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;67.00
156000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;67.00
157000;100.00;100.00;100.00;21.00;100.00;100.00;100.00;62.00
158000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;72.00
159000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;79.00
160000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;74.00
161000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;58.00
162000;100.00;100.00;100.00;20.00;100.00;100.00;100.00;64.00
163000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;51.00
164000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;60.00
165000;100.00;100.00;100.00;12.00;100.00;100.00;100.00;72.00
166000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;69.00
167000;100.00;100.00;100.00;12.00;100.00;100.00;100.00;72.00
168000;100.00;100.00;100.00;12.00;100.00;100.00;100.00;69.00
169000;100.00;100.00;100.00;15.00;100.00;100.00;100.00;64.00
170000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;71.00
171000;100.00;100.00;100.00;13.00;100.00;100.00;100.00;63.00
172000;100.00;100.00;100.00;11.00;100.00;100.00;100.00;77.00
