Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
207500;0.01;0.01;0.26;0.75;0.00;0.01;0.52;3.19
210000;0.01;0.01;0.27;0.71;0.00;0.01;3.70;3.29
212500;0.01;0.00;0.27;0.67;0.01;0.01;3.28;3.56
215000;0.01;0.03;0.26;0.59;0.00;0.00;3.71;3.36
217500;0.01;0.02;0.27;0.70;0.01;0.00;3.73;3.36
220000;0.01;0.01;0.27;0.72;0.00;0.01;0.23;3.36
222500;0.01;0.01;0.26;0.59;0.00;0.00;3.58;3.11
225000;0.01;0.00;0.26;0.67;0.01;0.00;3.58;3.08
227500;0.01;0.01;0.27;0.78;0.01;0.01;3.74;2.82
230000;0.02;0.00;0.27;0.64;0.00;0.00;3.76;3.22
232500;0.02;0.02;0.26;0.67;0.00;0.01;3.35;3.27
235000;0.02;0.00;0.27;0.58;0.00;0.00;3.55;3.36
237500;0.02;0.02;0.27;0.68;0.01;0.01;2.94;3.92
240000;0.02;0.01;0.26;0.66;0.00;0.00;3.62;4.06
242500;0.01;0.02;0.27;0.69;0.01;0.00;1.46;4.36
245000;0.01;0.00;0.26;0.67;0.01;0.00;3.58;4.24
247500;0.01;0.01;0.27;0.66;0.01;0.01;3.78;5.18
250000;0.01;0.01;0.25;0.63;0.01;0.00;3.57;5.09
252500;0.01;0.02;0.27;0.68;0.00;0.02;1.56;5.82
255000;0.02;0.00;0.26;0.67;0.01;0.00;3.66;5.70
257500;0.01;0.00;0.26;0.66;0.01;0.00;3.63;5.37
260000;0.02;0.01;0.26;0.67;0.01;0.02;3.76;5.91
262500;0.02;0.00;0.25;0.68;0.01;0.02;3.71;5.86
265000;0.02;0.01;0.27;0.94;0.01;0.00;3.31;6.03
267500;0.01;0.00;0.27;0.97;0.01;0.01;0.14;6.00
270000;0.01;0.01;0.26;0.99;0.01;0.00;3.86;6.01
272500;0.01;0.00;0.26;1.00;0.00;0.01;2.69;3.14
275000;0.01;0.00;0.25;0.91;0.00;0.02;6.84;7.03
277500;0.01;0.00;0.26;1.00;0.01;0.00;6.77;6.36
280000;0.01;0.01;0.26;1.00;0.00;0.01;6.45;6.78
282500;0.01;0.01;0.27;0.99;0.00;0.01;6.59;6.71
285000;0.01;0.00;0.27;0.98;0.01;0.01;7.46;5.93
287500;0.01;0.03;0.26;0.69;0.00;0.01;6.21;6.67
290000;0.01;0.01;0.27;0.68;0.00;0.00;5.20;7.29
292500;0.01;0.00;0.27;0.67;0.00;0.00;4.52;7.24
295000;0.01;0.00;0.26;0.80;0.00;0.01;4.31;7.40
297500;0.01;0.00;0.27;0.81;0.01;0.01;4.15;6.81
300000;0.01;0.01;0.27;0.99;0.00;0.01;4.71;7.30
302500;0.01;0.01;0.26;0.98;0.00;0.00;4.21;7.25
305000;0.01;0.01;0.27;0.99;0.00;0.00;4.24;7.36
307500;0.01;0.01;0.27;0.99;0.01;0.00;4.13;7.62
310000;0.01;0.01;0.26;0.80;0.01;0.01;3.86;7.13
312500;0.01;0.00;0.26;0.81;0.01;0.01;4.33;6.27
315000;0.01;0.02;0.27;1.00;0.00;0.01;5.14;7.08
317500;0.01;0.01;0.26;0.99;0.00;0.00;4.34;5.54
320000;0.01;0.02;0.27;0.98;0.01;0.01;5.85;6.56
322500;0.01;0.01;0.26;0.81;0.00;0.00;4.80;7.19
325000;0.01;0.01;0.26;0.82;0.00;0.00;4.10;3.82
327500;0.02;0.01;0.26;0.87;0.00;0.01;4.92;6.24
330000;0.01;0.02;0.26;0.86;0.00;0.00;5.91;5.76
332500;0.01;0.01;0.26;0.99;0.00;0.00;6.30;5.70
335000;0.01;0.01;0.27;0.87;0.00;0.01;5.38;7.17
337500;0.01;0.00;0.27;0.87;0.00;0.00;3.94;6.49
340000;0.01;0.00;0.26;0.89;0.00;0.00;4.47;6.61
342500;0.01;0.00;0.27;0.79;0.00;0.01;3.59;6.49
345000;0.01;0.00;0.26;0.91;0.01;0.00;3.63;6.52
347500;0.01;0.00;0.26;0.92;0.00;0.00;3.59;6.39
350000;0.01;0.00;0.27;0.92;0.00;0.00;3.70;5.85
352500;0.01;0.00;0.26;0.95;0.00;0.00;4.19;6.26
355000;0.01;0.01;0.26;0.95;0.01;0.00;3.74;6.13
357500;0.01;0.02;0.27;0.96;0.00;0.00;3.84;5.54
360000;0.01;0.02;0.26;0.99;0.00;0.01;4.35;6.41
362500;0.01;0.03;0.27;1.02;0.00;0.01;3.50;6.58
365000;0.01;0.02;0.27;0.99;0.00;0.00;3.26;6.36
367500;0.01;0.01;0.26;1.03;0.00;0.00;3.46;6.38
370000;0.01;0.01;0.27;1.00;0.00;0.02;3.43;5.11
372500;0.01;0.01;0.27;1.02;0.00;0.01;4.69;6.19
375000;0.01;0.00;0.26;1.01;0.00;0.00;3.59;5.37
377500;0.01;0.02;0.26;1.00;0.00;0.00;4.39;5.45
380000;0.01;0.00;0.27;1.01;0.00;0.01;4.31;6.22
382500;0.01;0.01;0.26;1.01;0.00;0.00;3.52;4.10
385000;0.01;0.00;0.27;1.00;0.00;0.00;5.63;5.83
387500;0.01;0.01;0.26;1.00;0.00;0.00;3.90;5.20
390000;0.01;0.01;0.26;1.00;0.00;0.00;4.49;6.02
392500;0.01;0.01;0.25;1.00;0.00;0.01;3.68;6.52
395000;0.01;0.02;0.26;1.02;0.00;0.00;3.14;5.14
397500;0.01;0.01;0.24;1.01;0.00;0.01;4.54;6.08
400000;0.01;0.00;0.25;1.02;0.00;0.00;3.56;6.15
402500;0.01;0.01;0.26;1.00;0.00;0.00;3.50;5.56
405000;0.01;0.00;0.25;1.00;0.00;0.00;4.06;6.44
407500;0.01;0.00;0.27;1.00;0.00;0.00;3.19;6.28
410000;0.01;0.00;0.27;1.00;0.00;0.00;3.29;6.51
412500;0.01;0.03;0.26;1.01;0.00;0.00;3.07;5.89
415000;0.01;0.01;0.26;1.00;0.00;0.00;3.68;5.19
417500;0.01;0.02;0.26;1.00;0.00;0.00;4.37;4.94
