Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
32710;100.00;100.00;13.00;3.00;100.00;100.00;5.00;2.00
2000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
32710;100.00;100.00;2.00;3.00;100.00;100.00;3.00;1.00
4000;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00
4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6000;100.00;1.00;0.00;1.00;37.00;0.00;1.00;0.00
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8000;100.00;100.00;6.00;1.00;100.00;100.00;1.00;0.00
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25000;100.00;100.00;1.00;2.00;100.00;100.00;2.00;7.00
27500;100.00;100.00;1.00;3.00;100.00;100.00;4.00;1.00
30000;100.00;100.00;2.00;2.00;100.00;100.00;2.00;3.00
32500;100.00;100.00;2.00;2.00;100.00;100.00;2.00;2.00
35000;100.00;100.00;2.00;5.00;100.00;100.00;2.00;5.00
37500;100.00;100.00;3.00;2.00;100.00;100.00;3.00;3.00
40000;100.00;100.00;3.00;2.00;100.00;100.00;3.00;1.00
42500;100.00;100.00;3.00;2.00;100.00;100.00;5.00;0.00
45000;100.00;100.00;3.00;1.00;100.00;100.00;3.00;2.00
47500;100.00;100.00;3.00;3.00;100.00;100.00;3.00;3.00
50000;100.00;100.00;3.00;6.00;100.00;100.00;3.00;6.00
52500;100.00;100.00;7.00;6.00;100.00;100.00;4.00;7.00
55000;100.00;100.00;7.00;3.00;100.00;100.00;3.00;3.00
57500;100.00;100.00;5.00;35.00;100.00;100.00;4.00;7.00
60000;100.00;100.00;6.00;2.00;100.00;100.00;5.00;2.00
62500;100.00;100.00;6.00;8.00;100.00;100.00;4.00;8.00
65000;100.00;100.00;95.00;12.00;100.00;100.00;99.00;51.00
67500;100.00;100.00;100.00;15.00;100.00;100.00;97.00;40.00
70000;100.00;100.00;99.00;24.00;100.00;100.00;98.00;48.00
72500;100.00;100.00;99.00;27.00;100.00;100.00;100.00;68.00
75000;100.00;100.00;100.00;19.00;100.00;100.00;100.00;87.00
77500;100.00;100.00;99.00;24.00;100.00;100.00;96.00;88.00
80000;100.00;100.00;99.00;25.00;100.00;100.00;98.00;84.00
82500;100.00;100.00;98.00;43.00;100.00;100.00;99.00;95.00
85000;100.00;100.00;99.00;25.00;100.00;100.00;100.00;91.00
87500;100.00;100.00;100.00;19.00;100.00;100.00;98.00;91.00
90000;100.00;100.00;97.00;19.00;100.00;100.00;100.00;87.00
92500;100.00;100.00;100.00;22.00;100.00;100.00;99.00;84.00
95000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;87.00
97500;100.00;100.00;100.00;13.00;100.00;100.00;100.00;97.00
100000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;91.00
102500;100.00;100.00;100.00;8.00;100.00;100.00;100.00;93.00
105000;100.00;100.00;100.00;9.00;100.00;100.00;100.00;97.00
107500;100.00;100.00;100.00;13.00;100.00;100.00;100.00;93.00
110000;100.00;100.00;100.00;14.00;100.00;100.00;100.00;100.00
112500;100.00;100.00;100.00;15.00;100.00;100.00;100.00;98.00
115000;100.00;100.00;100.00;10.00;100.00;100.00;100.00;94.00
117500;100.00;100.00;100.00;8.00;100.00;100.00;100.00;98.00
120000;100.00;100.00;100.00;8.00;100.00;100.00;100.00;97.00
122500;100.00;100.00;100.00;17.00;100.00;100.00;100.00;97.00
125000;100.00;100.00;100.00;16.00;100.00;100.00;100.00;98.00
