Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.3400;0.7645;0.1100;0.4449
2001;0.2500;0.7399;0.2200;0.6416
3001;0.4700;0.9215;0.6800;1.3991
4001;0.8900;1.4825;0.8100;1.6834
5001;0.7200;1.1232;0.9000;1.3675
6001;1.2100;1.7222;1.1200;1.8670
7001;1.2600;1.8527;1.5200;2.3685
8001;1.3400;1.4847;1.4900;2.2203
9001;1.6900;2.3778;1.7700;2.0729
10001;1.6700;1.6915;1.9300;2.0506
11001;1.6800;1.6726;1.6100;1.5868
12001;35.2300;39.4373;2.5600;1.9043
13001;50.3300;38.9700;2.8100;1.7927
14001;39.6100;36.0300;2.6500;1.8675
15001;34.2900;39.4158;2.8700;1.9933
16001;71.8200;29.4100;4.0400;1.8650
17001;73.1600;27.3012;6.9900;3.2450
18001;78.3300;22.9874;7.9500;2.3932
19001;89.7400;13.3982;8.0900;2.3456
20001;99.6600;2.3966;10.3300;1.6556
21001;99.9600;0.3988;11.3700;1.5405
22001;100.0000;0.0000;11.8200;1.7052
23001;100.0000;0.0000;13.0700;2.7973
24001;100.0000;0.0000;24.8300;12.8047
25001;100.0000;0.0000;26.7400;15.8988
26001;100.0000;0.0000;26.2600;11.8850
27001;100.0000;0.0000;33.1000;14.4828
28001;100.0000;0.0000;100.0000;0.0000
29001;100.0000;0.0000;100.0000;0.0000
30001;100.0000;0.0000;100.0000;0.0000
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
