Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
670001;479.3722;73.6086;1504.3556;46.8291
675001;496.2325;79.8159;1540.2594;54.6977
680001;499.2960;75.0113;1541.3763;57.5408
685001;489.8832;86.3330;1597.9495;45.4466
690001;499.9567;77.5987;1604.6577;64.8093
695001;496.2897;81.7306;1654.9050;56.7206
700001;477.1061;94.6242;1668.8348;54.1532
705001;496.1284;78.5169;1670.8776;61.7798
710001;498.2955;80.5947;1720.3636;52.7384
715001;491.6434;80.8553;1746.1288;75.8194
720001;498.1365;74.1859;1766.2491;71.4780
725001;498.2727;79.8963;1816.8779;65.4106
730001;501.7944;71.4165;1818.9830;72.6866
735001;500.4335;72.9983;1837.4205;67.0515
740001;495.3022;79.5805;1887.9085;72.0521
745001;500.8932;78.0929;1889.8002;86.5762
750001;497.7236;84.5051;1901.7212;73.7297
755001;500.7066;79.6339;1905.8386;71.6308
760001;477.8414;89.7066;1911.8996;55.3412
765001;500.7723;74.0189;1874.0257;81.2266
770001;484.8856;78.1487;1895.1223;73.8844
775001;492.2340;90.7804;1886.7229;59.3477
780001;496.1301;84.5639;1879.4357;67.1905
785001;477.5174;80.9159;1856.8733;71.0963
790001;495.2737;87.5364;1867.3396;47.4649
795001;439.6581;65.9456;1834.3999;68.4820
800001;499.5931;82.2496;1837.9662;68.6559
805001;490.6406;83.3299;1818.3843;65.8944
810001;491.8958;86.6701;1805.4545;59.1154
815001;496.5531;85.9436;1813.8154;48.2327
820001;492.1244;90.5281;1795.4211;60.9890
825001;491.0366;81.5648;1791.0758;52.2296
830001;489.2169;94.5467;1773.4703;49.7776
835001;500.6957;80.1050;1754.3503;51.4616
840001;492.2222;93.1633;1749.8306;43.1832
845001;481.6690;90.3164;1740.6139;40.7358
850001;488.8145;97.8969;1712.4104;62.3022
855001;498.9318;80.1854;1709.9436;46.8148
860001;474.7529;77.8474;1712.3788;31.4670
865001;499.3865;83.2397;1691.7348;43.4400
870001;498.8793;85.6057;1661.1055;53.2306
875001;489.4348;77.1372;1667.3363;42.7452
880001;500.1277;80.8216;1653.5927;46.5728
885001;491.6890;96.6815;1643.8789;39.8659
890001;499.1585;87.3259;1632.9842;34.1785
895001;486.6488;82.9457;1612.5141;40.4807
