Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.0000;0.0000;0.0000;0.0000
2001;0.0000;0.0000;0.0000;0.0000
3001;0.0000;0.0000;0.0000;0.0000
4001;0.0200;0.1400;0.0000;0.0000
5001;0.0000;0.0000;0.0000;0.0000
6001;0.0400;0.2417;0.0100;0.0995
7001;0.0000;0.0000;0.0200;0.1400
8001;0.0000;0.0000;0.0200;0.1400
9001;0.0000;0.0000;0.0300;0.1706
10001;0.0000;0.0000;0.0500;0.2958
11001;0.0100;0.0995;0.0200;0.1400
12001;0.0300;0.2216;0.0200;0.1400
13001;0.0300;0.2216;0.0200;0.1400
14001;19.8800;27.2545;0.9100;0.7084
15001;25.5700;23.5203;0.9400;0.8811
16001;29.4400;26.8895;1.3000;1.1790
17001;41.4600;25.8130;2.2800;1.4358
18001;99.6600;3.3829;3.4400;1.5383
19001;98.7200;9.0078;4.3200;1.5354
20001;100.0000;0.0000;7.4400;1.1943
21001;100.0000;0.0000;8.2200;1.9625
22001;99.9900;0.1000;9.4800;2.1189
23001;100.0000;0.0000;10.4200;1.4084
24001;100.0000;0.0000;11.0200;1.4696
25001;100.0000;0.0000;13.0100;5.7158
26001;100.0000;0.0000;32.0200;13.1507
27001;100.0000;0.0000;39.9300;11.6355
28001;100.0000;0.0000;54.8300;9.6902
29001;100.0000;0.0000;76.8300;8.6407
30001;100.0000;0.0000;100.0000;0.0000
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
