Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
1000;0.02;0.01;0.01;0.01;0.01;0.02;0.02;0.01
2000;0.01;0.00;0.01;0.01;0.03;0.03;0.03;0.03
3000;0.01;0.00;0.01;0.00;0.04;0.04;0.04;0.04
4000;0.01;0.01;0.01;0.00;0.06;0.06;0.06;0.07
5000;0.01;0.01;0.01;0.02;0.03;0.01;0.07;0.08
6000;0.02;0.00;0.01;0.04;0.00;0.08;0.09;0.08
7000;0.02;0.00;0.02;0.00;0.01;0.01;0.10;0.12
8000;0.01;0.00;0.03;0.03;0.01;0.00;0.12;0.13
9000;0.01;0.00;0.03;0.01;0.00;0.00;0.13;0.12
10000;0.01;0.02;0.03;0.03;0.01;0.00;0.14;0.12
12500;0.01;0.00;0.04;0.04;0.01;0.03;0.18;0.18
15000;0.01;0.02;0.04;0.04;0.00;0.00;0.21;0.19
17500;0.01;0.02;0.05;0.05;0.01;0.00;0.25;0.28
20000;0.01;0.01;0.06;0.04;0.00;0.00;0.29;0.26
22500;0.01;0.00;0.06;0.07;0.00;0.00;0.34;0.34
25000;0.01;0.00;0.07;0.08;0.01;0.00;0.36;0.32
27500;0.01;0.01;0.08;0.12;0.00;0.01;0.39;0.28
30000;0.01;0.01;0.09;0.09;0.00;0.00;0.44;0.49
32500;0.00;0.00;0.09;0.08;0.00;0.00;0.44;0.48
35000;0.01;0.00;0.10;0.10;0.00;0.00;0.49;0.44
37500;0.01;0.00;0.09;0.04;0.01;0.01;0.50;0.62
40000;0.01;0.01;0.12;0.09;0.01;0.02;0.58;0.12
42500;0.01;0.01;0.11;0.11;0.01;0.00;0.57;0.43
45000;0.01;0.01;0.12;0.17;0.00;0.00;0.63;0.45
47500;0.01;0.02;0.14;0.12;0.01;0.01;0.67;0.46
50000;0.01;0.01;0.14;0.14;0.00;0.02;0.61;0.06
52500;0.01;0.01;0.15;0.14;0.00;0.03;0.67;0.37
55000;0.01;0.00;0.15;0.19;0.00;0.00;0.79;0.40
57500;0.01;0.02;0.16;0.09;0.00;0.03;0.01;0.56
60000;0.01;0.04;0.17;0.15;0.00;0.00;0.77;0.60
62500;0.01;0.01;0.17;0.19;0.00;0.00;0.74;0.35
65000;0.01;0.02;0.17;0.15;0.01;0.00;0.79;0.22
67500;0.01;0.01;0.17;0.19;0.00;0.00;0.99;0.38
70000;0.01;0.01;0.17;0.21;0.00;0.00;0.92;0.21
72500;0.02;0.00;0.16;0.19;0.00;0.00;0.98;0.16
75000;0.02;0.01;0.17;0.19;0.00;0.00;0.11;0.62
77500;0.01;0.01;0.17;0.21;0.00;0.00;0.99;0.24
80000;0.01;0.00;0.16;0.23;0.01;0.00;0.98;0.56
82500;0.02;0.01;0.17;0.22;0.01;0.00;0.97;0.48
85000;0.02;0.01;0.16;0.12;0.00;0.01;0.94;0.56
87500;0.01;0.00;0.17;0.17;0.00;0.00;0.98;0.54
90000;0.01;0.01;0.16;0.13;0.00;0.00;1.12;0.83
92500;0.01;0.02;0.17;0.48;0.00;0.00;1.12;0.39
95000;0.01;0.01;0.17;0.45;0.01;0.01;1.31;0.80
97500;0.02;0.00;0.16;0.26;0.00;0.00;1.31;0.51
100000;0.01;0.01;0.17;0.26;0.00;0.00;1.24;0.41
102500;0.01;0.01;0.16;0.28;0.00;0.00;1.31;0.70
105000;0.01;0.03;0.17;0.28;0.01;0.00;1.26;0.84
107500;0.02;0.01;0.16;0.41;0.00;0.00;1.06;0.64
110000;0.01;0.00;0.17;0.39;0.00;0.01;1.23;0.73
112500;0.01;0.00;0.16;0.20;0.00;0.01;1.27;1.00
115000;0.01;0.02;0.16;0.26;0.00;0.00;1.31;1.52
117500;0.01;0.00;0.17;0.34;0.00;0.01;1.24;1.42
120000;0.01;0.00;0.17;0.32;0.00;0.00;0.61;0.55
122500;0.02;0.02;0.16;0.34;0.00;0.00;1.26;1.38
125000;0.01;0.01;0.17;0.34;0.00;0.01;1.30;0.94
127500;0.01;0.01;0.17;0.34;0.00;0.00;1.31;1.11
130000;0.01;0.01;0.16;0.32;0.00;0.00;0.92;1.34
132500;0.01;0.02;0.16;0.33;0.01;0.00;1.28;1.26
135000;0.01;0.05;0.17;0.43;0.00;0.01;1.76;0.28
137500;0.01;0.01;0.16;0.40;0.00;0.00;1.96;0.16
140000;0.01;0.02;0.17;0.25;0.00;0.00;1.90;1.38
142500;0.01;0.01;0.16;0.32;0.01;0.00;1.87;1.23
145000;0.01;0.02;0.17;0.40;0.01;0.01;1.87;1.30
147500;0.01;0.02;0.17;0.38;0.00;0.00;1.89;1.24
150000;0.02;0.01;0.17;0.33;0.01;0.01;1.93;1.18
152500;0.01;0.01;0.16;0.26;0.00;0.01;1.81;1.10
155000;0.01;0.00;0.17;0.24;0.00;0.01;1.75;1.45
157500;0.02;0.00;0.16;0.21;0.00;0.00;1.81;1.34
160000;0.02;0.00;0.17;0.01;0.00;0.00;1.91;1.12
162500;0.02;0.00;0.17;0.08;0.01;0.00;1.84;1.28
165000;0.01;0.02;0.16;0.38;0.00;0.01;1.83;1.65
167500;0.01;0.01;0.17;0.32;0.01;0.00;1.14;1.11
170000;0.01;0.02;0.16;0.27;0.01;0.00;1.70;1.34
172500;0.01;0.00;0.15;0.23;0.01;0.00;0.91;1.29
175000;0.01;0.01;0.14;0.38;0.00;0.00;1.35;1.48
177500;0.01;0.01;0.17;0.42;0.00;0.01;1.63;1.58
180000;0.01;0.00;0.16;0.32;0.01;0.00;1.73;1.78
182500;0.01;0.01;0.17;0.60;0.00;0.00;0.69;1.16
185000;0.01;0.01;0.16;0.58;0.00;0.01;1.83;1.49
187500;0.01;0.00;0.16;1.00;0.00;0.00;1.95;1.61
190000;0.02;0.01;0.16;0.96;0.00;0.00;1.37;0.02
192500;0.01;0.00;0.01;0.02;0.00;0.01;0.01;0.01
195000;0.02;0.00;0.02;0.02;0.00;0.01;0.01;0.02
197500;0.01;0.01;0.09;0.57;0.00;0.00;0.47;1.32
200000;0.01;0.00;0.15;0.82;0.00;0.00;0.59;1.31
202500;0.01;0.02;0.16;0.98;0.00;0.00;0.87;0.72
205000;0.01;0.00;0.17;0.73;0.00;0.01;1.56;1.19
207500;0.01;0.02;0.17;0.72;0.00;0.01;0.82;0.60
210000;0.01;0.00;0.15;0.74;0.00;0.01;1.50;1.09
