procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 273296 160968  10544 524900    1    2    25    21    1    0  1  0 98  0
 0  0 273276 158740   9900 485764    5    0    77  1496  245  431  1  0 99  0
 0  0 273060 172592  10580 440632    6    0    56  4004  502  909  1  1 98  0
 0  0 272508 175784  11660 423336   23    0   226  4636  673 1249  2  1 97  1
 0  0 272144 174004  11652 413560   19    0    53  5242  774 1441  2  1 96  1
 0  0 272060 164684  11028 412156    2    0    51  3737  824 1532  3  1 96  0
 0  0 271884 160588  11576 410000    5    0   375  3020  852 1589  3  1 96  0
 0  0 271868 162148  13960 403780    0    0    46  3639  812 1533  3  1 96  0
