procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 190940 154684  34084 6521768    1    2    25    22    1    0  1  0 98  0
 0  0 193840 189748  36320 6436556   19   54    45  1301  250  431  1  0 99  0
 1  0 194788 165324  42160 6428896   36   26    37  3131  449  807  1  1 98  0
 0  0 195856 167204  50856 6407148   20   28    39  5358  687 1279  2  1 97  1
 0  0 195440 162296  58108 6392096   17    0   319  4785  769 1443  2  1 96  1
 0  0 195144 171488  64780 6363860    7    0     7  4812  831 1574  3  1 96  0
 0  0 194992 176344  71532 6346604    9    0     9  3393  802 1526  3  1 96  0
 0  0 194956 172060  77356 6340672    5    2     5  4193  810 1541  3  1 96  0
