procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 190392 161176  35604 6505252    1    2    25    24    1    1  1  0 98  0
 0  0 191424 168756  37304 6480468   19   22    88  1340  247  429  1  0 99  0
 0  0 192044 160188  40648 6475860   29   21    33  3376  464  844  1  1 98  0
 0  0 192744 160052  48320 6454288   30   25    30  5178  676 1244  2  1 97  1
 1  0 192424 167248  54904 6427932    7    0     7  5384  701 1305  2  1 97  1
 0  0 192100 155796  60352 6421368    7    0     8  5478  818 1531  3  1 96  1
 0  0 191860 173272  65720 6385208    6    0     6  2656  821 1542  3  1 96  0
 0  0 191684 169284  71488 6371076    3    0     3  2454  962 1809  4  1 95  0
 0  0 191596 165564  75216 6358108    2    0     4  2319 1065 2005  4  1 94  0
 0  0 191292 155688  94164 6334528   12    0   267  1953 1217 2226  5  1 94  0
 0  0 191272 171520  97184 6299772    2    0     2  3901 1312 2458  5  1 93  0
 0  0 191108 158188 100016 6296812    5    0     7  5388 1415 2652  6  1 92  0
 1  0 191104 160252 102912 6278668    1    0     1  7002 1504 2810  6  2 92  0
 1  0 191088 175488 105432 6248932    1    0     2  8182 1662 3126  7  2 91  1
 0  0 191044 155228 108240 6260088    2    0     2  9723 1620 3039  7  2 91  1
 0  1 190980 176604  44328 6321824    8    2 50168 10590 2169 3987  7  2 87  4
