procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 305912 471460  26460 13150760    1    2    27    34    0    1  1  0 98  0
 0  0 305912 311060  27960 13204892    0    0   619   643 1227 2379  1  1 98  0
 0  0 305912 196708  33232 13266756    0    0   753  1453  300  550  1  0 99  0
 0  0 305912 174512  39324 13272120    0    0   284  1175  290  526  0  0 99  0
 0  0 305912 173936  45676 13246424    0    0   371  1478  329  591  1  0 99  0
 0  0 305912 172856  51396 13230512    0    0   129  1389  303  543  1  0 99  0
 0  0 305912 167872  57660 13219644    0    0   143  1421  312  567  1  0 99  0
 0  0 305912 166476  64772 13201440    0    0    87  1942  364  653  1  0 99  0
 0  0 305904 173964  71540 13177620    0    0    59  1931  348  636  1  0 99  0
 0  0 305904 159496  77052 13181420    0    0    63  1020  277  510  0  0 99  0
 0  0 305904 170336  82500 13159824    0    0    99  1152  286  518  1  0 99  0
