Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.0200;0.1400;0.0200;0.1400
2001;0.2300;0.6611;0.1500;0.4555
3001;0.2000;0.5477;0.4200;1.1330
4001;0.3400;0.7513;0.2600;0.5936
5001;0.4600;1.2603;0.4100;0.8843
6001;0.5700;1.2669;0.5200;1.0815
7001;0.6200;1.0078;0.5600;1.0800
8001;0.5500;1.1522;0.7900;1.5251
9001;0.7800;1.6345;0.9200;1.0833
10001;1.1700;1.3860;1.2400;1.4361
11001;1.3300;1.4287;0.9600;1.1655
12001;1.1500;1.8405;0.6700;0.9171
13001;1.0100;1.4035;1.0000;1.5492
14001;1.1500;1.5190;0.9300;1.2981
15001;78.2200;15.6771;3.2100;6.5442
16001;81.7200;17.3937;7.5400;10.6174
17001;83.9800;12.3482;7.8600;8.7281
18001;66.6300;19.8331;7.5500;6.7548
19001;100.0000;0.0000;87.3000;15.3378
20001;100.0000;0.0000;87.7000;11.5087
21001;100.0000;0.0000;91.2600;10.8468
22001;99.9300;0.6965;89.7100;9.3662
23001;100.0000;0.0000;93.2400;10.3886
24001;100.0000;0.0000;94.6200;6.1656
25001;100.0000;0.0000;92.1700;9.3285
26001;100.0000;0.0000;96.0200;5.1206
27001;100.0000;0.0000;96.6100;4.0172
28001;100.0000;0.0000;97.1500;3.5167
29001;100.0000;0.0000;99.1200;2.1644
30001;100.0000;0.0000;99.7700;0.7199
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
