procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 146924 1840944 574300 11440656    1    2    23    18    1    0  1  0 98  0
 0  0 146924 1835220 574508 11440776    0    0     2     9  129  225  0  0 100  0
 0  0 146908 1748320 574596 11441004    0    0     0     9  230  880  0  1 99  0
 0  0 146908 1743764 574696 11441392    0    0     0    12  316  599  0  0 99  0
 0  0 146908 1735240 574864 11444700    0    0    45    15  408  778  0  1 99  0
 0  0 146908 1716004 575196 11459916    0    0     1   279  643 1147  1  1 99  0
 0  0 146904 1712940 575504 11461668    0    0     2    59  634 1308  1  1 98  0
 0  0 146904 1711024 575600 11462452    0    0     0    18  538 1034  0  1 99  0
 0  0 146904 1710392 575696 11463240    0    0     0    15  532 1024  0  1 99  0
 0  0 146904 1709196 575792 11464000    0    0     0    15  521  994  0  1 99  0
 0  0 146904 1724072 575880 11464708    0    0     0    19  521  989  0  1 99  0
