procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 191348 176688  33664 6498116    1    2    25    23    1    1  1  0 98  0
 0  0 191964 165444  35372 6490228   13   12    46  1256  225  404  1  0 99  0
 1  0 193072 154612  40168 6488168   18   22    21  3568  486  913  1  1 98  0
 1  0 194544 174620  47332 6447208   20   28    21  4504  634 1166  2  1 97  1
 0  0 194604 161100  54116 6439228   10    3    10  5376  730 1368  2  1 96  1
 0  0 194164 162832  59660 6418156   27    0    86  5070  800 1500  3  1 96  0
 0  0 194064 157296  65680 6405588    7    0     7  3934  882 1658  3  1 95  0
 0  0 193928 175116  70308 6369304    6    0     6  2501  943 1772  4  1 95  0
 0  0 193824 167668  74632 6360084    4    0     4  2607 1035 1943  4  1 94  0
 0  0 193524 166388  77260 6343976   12    0    12  2440 1105 2078  5  1 94  0
 1  0 193412 176216  79452 6317380    5    0     5  2781 1231 2315  5  1 93  0
 0  0 193312 158088  81748 6320780    3    0     3  4547 1413 2651  6  1 92  0
 1  0 193080 175960  85384 6283168   10    0    11  6436 1545 2886  6  1 92  0
 2  0 192744 166200  88680 6278848   16    0    18  8166 1648 3077  7  2 91  1
 2  0 192720 173876  91556 6260456    3    0     6  9498 1649 3121  7  2 91  1
 0  0 192848 171176  94540 6259668    3    3     3  9968 1610 3024  6  2 91  1
