procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 170492 14260312   4144  84160    1    2    22    18    1    0  1  0 98  0
 0  0 170468 14260456   4236  84216    1    0     1     6  146  241  0  0 99  0
 0  0 170448 14257824   4332  84240    1    0     1     5  133  218  0  0 99  0
 0  0 170440 14256756   4436  84260    0    0     0     5  119  196  0  0 99  0
 0  0 170348 14255116   4532  84280    2    0     2     5  134  221  0  0 99  0
 0  0 170336 14254316   4628  84304    0    0     0     6  135  222  0  0 99  0
 0  0 170328 14252432   4724  84324    0    0     0     5   98  163  0  0 100  0
 0  0 170320 14251604   4820  84344    1    0     1     5  116  193  0  0 100  0
 0  0 170308 14251032   4916  84364    0    0     0     6  107  176  0  0 100  0
 0  0 170284 14259576   5016  84392   10    0    10     5  141  230  0  0 99  0
